state,stressor,year,January-March,April-June,July-September,October-December
A*lab@ama,Di+sesase@s,2015,NA,NA,NA,0.2
Alabama,&Dise@s+ases,2016,4.3,0.3,NA,0.2
A$labam(a,Disesas@e+s,2017,0.2,NA,NA,8.8
A+labama,Dise%sas-es,2018,1.9,1.2,0.7,1.3
Alabama,Disesases,2019,1.8,NA,2.9,0.6
Al.abama,Disesas(e%s,2020,NA,1.6,NA,15.4
Ala&bama,D&ise%s!a(s*e&s,2021,NA,0.5,NA,NA
Alabama,O^ther,2015,9.1,3.2,2.2,2.8
Alabama,Ot-her,2016,2.4,4.8,3.2,6.7
Alabama,Other,2017,7.5,9.4,7.5,1.7
$Alabam#a,@O#th_er,2018,8.6,11.5,7.8,3.4
Alabama,Other,2019,3.1,NA,9.7,9
Al-a$ba(ma,Ot^h^er,2020,1.7,7.9,5.4,2.3
Alabama,O@the$r,2021,3.1,5.8,NA,NA
Alab&ama,Other_ pests/pa&r(asites,2015,5.4,42.5,70.6,6.4
Alabama,O*ther! pe@sts/parasites,2016,22,8.2,42,9.9
Alaba#ma,$Oth#e@r pests/pa&rasi)t)es,2017,10.9,13.6,22.1,10.1
Alabama,O#the%r )pe^sts/par*a+sites,2018,30.2,25.5,69.4,20.5
Alabama,Ot+her p.es&ts/(parasites,2019,22.7,NA,24.6,26.7
A$labama,Ot(he*r pests/para$si#tes,2020,3.4,18,29.1,43.2
A-labama,+O-ther p^e+s$ts/para+si!tes,2021,30.3,45,NA,NA
Alabama,Pesticid-es,2015,2.2,2.3,2.6,0.2
Alabama,P.e-stic_ide)s,2016,8.1,1.7,3.8,2.4
Alab#ama,^P*esticide*s,2017,3.6,4.2,35.4,9.5
Alabama,Pesti&cid#es,2018,14.9,13.1,14.6,1.5
Alabama,$Pe(stic!ides,2019,0.3,NA,0.2,4.9
Al%abama,Pe$st+ici!d+es,2020,0.1,7.7,12,2
Alabama,-Pest$icide+s,2021,NA,2.1,NA,NA
Alaba&ma,$U!nknown,2015,9.4,4.1,17.7,1.9
Alabama,U#nkn_ow_n,2016,11.3,5.4,13.8,3.3
Alabama,Unk*nown,2017,10.4,5.3,3.9,5.2
Alabama,Un*kn^own,2018,4.5,2.1,6.8,7.5
Alaba#ma,Unkn@own,2019,9,NA,6.4,11.3
A&laba*ma,U&n.kn-own,2020,4.3,9.5,11.7,16.9
Alabama,Unknow#n,2021,4,26,NA,NA
Alabama,Var(ro^a m%ites,2015,10,16.7,63.1,3.1
Alabama,Varro.a% #mite+s,2016,24.2,9.6,11.7,12.3
!Alabama,Var)roa mites,2017,15.3,17.9,69.5,22.3
Al!abama,Var$r%o$a +mites,2018,29.2,23.6,77.5,20.6
(Ala#bama,-Var)ro+a( !m$i$t_es,2019,27.2,NA,30.6,46.7
Alabama,_Varr^o*a %mit*e)s,2020,12.4,28.5,64.9,50.8
Alab%ama,^Varr_oa mites,2021,52.2,55.2,NA,NA
Ariz)ona,D$ise+sas_es,2015,0.1,0.5,5.4,1.1
Arizona,Disesa#ses,2016,NA,17.2,0.9,2.3
Arizona,Dis*esas&e+s,2017,3.8,19.4,0.5,2.3
Arizona,Dise^s#a.ses,2018,4.6,33.2,4.5,3.1
Arizona,!Dise@s@as^es,2019,6.5,NA,2.7,0.4
Arizona,Dis&esases,2020,0.1,NA,1.9,NA
Arizona,@Disesases,2021,5.9,3.6,NA,NA
Arizona,Ot$her,2015,1.8,28.2,7.6,0.5
Arizona,Other,2016,6.5,17.4,13.4,4.3
Arizona,Other,2017,6.5,20.1,12.4,4.1
Ariz*o+na,Other,2018,7.9,14.5,15,7.1
&Arizo*na,O(ther,2019,8.4,NA,13.2,4
Arizona,Ot+h*er,2020,10.1,5.5,9.3,2.3
Arizona,O#ther,2021,0.5,7.1,NA,NA
A(rizona,Oth%er p*es&ts/pa!r.asites,2015,20.5,32.1,24.8,1.7
Arizona,Other p&ests/.par(asit.es,2016,2.8,47.5,1,15.5
Arizona,Oth%er pests/para&s.ites,2017,2.1,15.6,0.4,4.2
Arizon#a,Oth+er! pests./p#arasites,2018,4.3,7.3,2.3,8.3
A+rizona,Other @pe_sts/.parasit+e&s,2019,7.9,NA,9.9,1.5
Arizona,O+t&he!r pes!ts/parasites,2020,0.1,NA,NA,NA
Arizona,&O$t*her% pests_/p(ar%a!sit)e^s,2021,5.9,NA,NA,NA
Arizona,%P-esticides,2015,NA,20.1,17.3,3.5
A!rizona,Pesticide.s,2016,7.7,12,13.5,6.5
Arizona,^Pestic&ides,2017,1.7,12.2,1.1,1.6
Arizona,P)estici+des,2018,15.3,0.8,3.8,NA
Arizon#a,Pe!st%ici@de@s,2019,16.2,NA,11.4,23.3
#Arizona,Pe$st)i+cid^es,2020,NA,4.2,1.7,4.5
Arizona,Pes)ticide@s,2021,NA,1.2,NA,NA
Arizona,$Un_kno^wn,2015,3.1,0.3,5.1,15.5
Ar^izo$na,!U.nk&n%own,2016,7.2,3.5,8.9,3.2
Arizona,Un*kn%own,2017,2.1,0.7,6.3,0.1
Arizo@na,_U+nkno@wn,2018,4.2,3.7,27.6,3
Ari*zona,Un*kn(own,2019,0.2,NA,0.6,2.9
%Arizon)a,Unk_n(own,2020,9,0.6,12.2,18.3
